Time [s],Channel,Value
0.014037880,1,59423
0.014049220,2,59423
0.014060560,1,60460
0.014071905,2,60460
0.014083245,1,61637
0.014094585,2,61637
0.014105925,1,63227
0.014117270,2,63227
0.014128610,1,64620
0.014139950,2,64620
0.014151295,1,107
0.014162635,2,107
0.014173975,1,1316
0.014185315,2,1316
0.014196660,1,2479
0.014208000,2,2479
0.014219340,1,4693
0.014230680,2,4693
0.014242025,1,6654
0.014253365,2,6654
0.014264705,1,6731
0.014276050,2,6731
0.014287390,1,7245
0.014298730,2,7245
0.014310070,1,8118
0.014321415,2,8118
0.014332755,1,9797
0.014344095,2,9797
0.014355435,1,10796
